bloomberg,yahoo,alpha_vantage
020560 KS,020560.KS,SYMBOL_NOT_FOUND
021240 KS,021240.KS,SYMBOL_NOT_FOUND
023160 KS,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
023530 KS,023530.KS,SYMBOL_NOT_FOUND
024110 KS,024110.KS,SYMBOL_NOT_FOUND
028050 KS,028050.KS,SYMBOL_NOT_FOUND
028150 KS,028150.KS,SYMBOL_NOT_FOUND
028260 KS,028260.KS,SYMBOL_NOT_FOUND
028670 KS,028670.KS,SYMBOL_NOT_FOUND
029780 KS,029780.KS,SYMBOL_NOT_FOUND
030000 KS,030000.KS,SYMBOL_NOT_FOUND
030190 KS,030190.KQ,SYMBOL_NOT_FOUND
031430 KS,031430.KS,SYMBOL_NOT_FOUND
032500 KS,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
032640 KS,032640.KS,SYMBOL_NOT_FOUND
032830 KS,032830.KS,SYMBOL_NOT_FOUND
033290 KS,033290.KQ,SYMBOL_NOT_FOUND
033500 KS,033500.KS,SYMBOL_NOT_FOUND
033640 KS,033640.KQ,SYMBOL_NOT_FOUND
033780 KS,033780.KS,SYMBOL_NOT_FOUND
034020 KS,034020.KS,SYMBOL_NOT_FOUND
034220 KS,034220.KS,SYMBOL_NOT_FOUND
034230 KS,034230.KQ,SYMBOL_NOT_FOUND
034730 KS,034730.KS,SYMBOL_NOT_FOUND
035250 KS,035250.KS,SYMBOL_NOT_FOUND
035420 KS,035420.KS,SYMBOL_NOT_FOUND
035720 KS,035720.KS,SYMBOL_NOT_FOUND
035760 KS,035760.KQ,SYMBOL_NOT_FOUND
035900 KS,035900.KQ,SYMBOL_NOT_FOUND
036420 KS,036420.KS,SYMBOL_NOT_FOUND
036460 KS,036460.KS,SYMBOL_NOT_FOUND
036490 KS,036490.KQ,SYMBOL_NOT_FOUND
036570 KS,036570.KS,SYMBOL_NOT_FOUND
036830 KS,036830.KQ,SYMBOL_NOT_FOUND
036930 KS,036930.KQ,SYMBOL_NOT_FOUND
037560 KS,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
038500 KS,038500.KQ,SYMBOL_NOT_FOUND
039130 KS,039130.KS,SYMBOL_NOT_FOUND
039490 KS,039490.KS,SYMBOL_NOT_FOUND
041510 KS,041510.KS,SYMBOL_NOT_FOUND
042000 KS,042000.KQ,SYMBOL_NOT_FOUND
042660 KS,042660.KS,SYMBOL_NOT_FOUND
042670 KS,042670.KS,SYMBOL_NOT_FOUND
046890 KS,046890.KQ,SYMBOL_NOT_FOUND
047040 KS,047040.KS,SYMBOL_NOT_FOUND
047050 KS,047050.KS,SYMBOL_NOT_FOUND
047810 KS,047810.KS,SYMBOL_NOT_FOUND
049070 KS,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
049770 KS,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
051500 KS,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
051600 KS,051600.KS,SYMBOL_NOT_FOUND
051900 KS,051900.KS,SYMBOL_NOT_FOUND
051910 KS,051910.KS,SYMBOL_NOT_FOUND
052690 KS,052690.KS,SYMBOL_NOT_FOUND
053210 KS,053210.KS,SYMBOL_NOT_FOUND
053580 KS,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
055550 KS,055550.KS,SYMBOL_NOT_FOUND
056190 KS,056190.KQ,SYMBOL_NOT_FOUND
057050 KS,057050.KS,SYMBOL_NOT_FOUND
058470 KS,058470.KQ,SYMBOL_NOT_FOUND
060250 KS,060250.KQ,SYMBOL_NOT_FOUND
060720 KS,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
063080 KS,063080.KQ,SYMBOL_NOT_FOUND
064350 KS,064350.KS,SYMBOL_NOT_FOUND
064760 KS,064760.KS,SYMBOL_NOT_FOUND
064960 KS,064960.KS,SYMBOL_NOT_FOUND
066570 KS,066570.KS,SYMBOL_NOT_FOUND
066970 KS,066970.KQ,SYMBOL_NOT_FOUND
067160 KS,067160.KQ,SYMBOL_NOT_FOUND
067990 KS,067990.KS,SYMBOL_NOT_FOUND
068270 KS,068270.KS,SYMBOL_NOT_FOUND
068400 KS,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
069080 KS,069080.KS,SYMBOL_NOT_FOUND
069260 KS,069260.KS,SYMBOL_NOT_FOUND
069620 KS,069620.KS,SYMBOL_NOT_FOUND
069960 KS,069960.KS,SYMBOL_NOT_FOUND
071050 KS,071050.KS,SYMBOL_NOT_FOUND
071840 KS,071840.KS,SYMBOL_NOT_FOUND
073490 KS,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
074600 KS,074600.KQ,SYMBOL_NOT_FOUND
078340 KS,078340.KQ,SYMBOL_NOT_FOUND
078930 KS,078930.KS,SYMBOL_NOT_FOUND
079160 KS,079160.KS,SYMBOL_NOT_FOUND
079430 KS,079430.KS,SYMBOL_NOT_FOUND
079550 KS,079550.KS,SYMBOL_NOT_FOUND
080160 KS,080160.KQ,SYMBOL_NOT_FOUND
081660 KS,081660.KS,SYMBOL_NOT_FOUND
082640 KS,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
084370 KS,084370.KQ,SYMBOL_NOT_FOUND
084850 KS,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
086280 KS,086280.KS,SYMBOL_NOT_FOUND
086390 KS,086390.KQ,SYMBOL_NOT_FOUND
086450 KS,086450.KQ,SYMBOL_NOT_FOUND
086520 KS,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
086790 KS,086790.KS,SYMBOL_NOT_FOUND
086900 KS,086900.KQ,SYMBOL_NOT_FOUND
088350 KS,088350.KS,SYMBOL_NOT_FOUND
089030 KS,089030.KQ,SYMBOL_NOT_FOUND
089590 KS,089590.KS,SYMBOL_NOT_FOUND
089600 KS,089600.KQ,SYMBOL_NOT_FOUND
090430 KS,090430.KS,SYMBOL_NOT_FOUND
090460 KS,090460.KQ,SYMBOL_NOT_FOUND
091700 KS,091700.KQ,SYMBOL_NOT_FOUND
091990 KS,091990.KQ,SYMBOL_NOT_FOUND
092730 KS,092730.KS,SYMBOL_NOT_FOUND
093050 KS,093050.KS,SYMBOL_NOT_FOUND
095610 KS,095610.KQ,SYMBOL_NOT_FOUND
095660 KS,095660.KQ,SYMBOL_NOT_FOUND
096530 KS,096530.KQ,SYMBOL_NOT_FOUND
096770 KS,096770.KS,SYMBOL_NOT_FOUND
097520 KS,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
097950 KS,097950.KS,SYMBOL_NOT_FOUND
098460 KS,098460.KQ,SYMBOL_NOT_FOUND
1 HK,0001.HK,SYMBOL_NOT_FOUND
100090 KS,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
101 HK,0101.HK,SYMBOL_NOT_FOUND
103140 KS,103140.KS,SYMBOL_NOT_FOUND
1038 HK,1038.HK,SYMBOL_NOT_FOUND
104830 KS,104830.KQ,SYMBOL_NOT_FOUND
105560 KS,105560.KS,SYMBOL_NOT_FOUND
105630 KS,105630.KS,SYMBOL_NOT_FOUND
1083 HK,1083.HK,SYMBOL_NOT_FOUND
108320 KS,108320.KQ,SYMBOL_NOT_FOUND
108670 KS,108670.KS,SYMBOL_NOT_FOUND
11 HK,0011.HK,SYMBOL_NOT_FOUND
1101 NA,1101.TW,1101.AMS
1102 NA,1102.TW,1102.AMS
1113 HK,1113.HK,SYMBOL_NOT_FOUND
111770 KS,111770.KS,SYMBOL_NOT_FOUND
112040 KS,112040.KQ,SYMBOL_NOT_FOUND
112610 KS,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
1128 HK,1128.HK,SYMBOL_NOT_FOUND
1137 HK,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
114090 KS,114090.KS,SYMBOL_NOT_FOUND
119860 KS,119860.KQ,SYMBOL_NOT_FOUND
12 HK,0012.HK,SYMBOL_NOT_FOUND
120110 KS,120110.KS,SYMBOL_NOT_FOUND
1216 NA,1216.TW,1216.AMS
122870 KS,122870.KQ,SYMBOL_NOT_FOUND
1229 NA,1229.TW,1229.AMS
122990 KS,122990.KQ,SYMBOL_NOT_FOUND
128940 KS,128940.KS,SYMBOL_NOT_FOUND
1299 HK,1299.HK,SYMBOL_NOT_FOUND
1301 NA,1301.TW,1301.AMS
1303 NA,1303.TW,1303.AMS
1304 NA,SYMBOL_NOT_FOUND,1304.AMS
1305 NA,1305.TW,1305.AMS
1308 NA,1308.TW,1308.AMS
1310 HK,1310.HK,SYMBOL_NOT_FOUND
1310 NA,SYMBOL_NOT_FOUND,1310.AMS
1312 NA,1312.TW,1312.AMS
1316 HK,1316.HK,SYMBOL_NOT_FOUND
1319 NA,1319.TW,1319.AMS
1326 NA,1326.TW,1326.AMS
1332 JP,1332.T,SYMBOL_NOT_FOUND
138080 KS,138080.KQ,SYMBOL_NOT_FOUND
1382 HK,1382.HK,SYMBOL_NOT_FOUND
138930 KS,138930.KS,SYMBOL_NOT_FOUND
139130 KS,139130.KS,SYMBOL_NOT_FOUND
139480 KS,139480.KS,SYMBOL_NOT_FOUND
14 HK,0014.HK,SYMBOL_NOT_FOUND
1402 NA,1402.TW,1402.AMS
1407 JP,1407.T,SYMBOL_NOT_FOUND
140860 KS,140860.KQ,SYMBOL_NOT_FOUND
1414 JP,1414.T,SYMBOL_NOT_FOUND
1415 HK,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
145020 KS,145020.KQ,SYMBOL_NOT_FOUND
145720 KS,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
1476 NA,1476.TW,1476.AMS
1477 NA,1477.TW,1477.AMS
1504 NA,1504.TW,1504.AMS
1536 NA,1536.TW,1536.AMS
1565 TT,1565.TWO,SYMBOL_NOT_FOUND
1589 NA,SYMBOL_NOT_FOUND,1589.AMS
1590 NA,1590.TW,1590.AMS
16 HK,0016.HK,SYMBOL_NOT_FOUND
1605 JP,1605.T,SYMBOL_NOT_FOUND
161390 KS,161390.KS,SYMBOL_NOT_FOUND
161890 KS,161890.KS,SYMBOL_NOT_FOUND
1662 JP,1662.T,SYMBOL_NOT_FOUND
1686 HK,1686.HK,SYMBOL_NOT_FOUND
17 HK,0017.HK,SYMBOL_NOT_FOUND
1707 NA,1707.TW,1707.AMS
170900 KS,170900.KS,SYMBOL_NOT_FOUND
1719 JP,1719.T,SYMBOL_NOT_FOUND
1721 JP,1721.T,SYMBOL_NOT_FOUND
1722 NA,1722.TW,1722.AMS
1723 NA,1723.TW,1723.AMS
1736 NA,1736.TW,1736.AMS
175330 KS,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
1755 HK,1755.HK,SYMBOL_NOT_FOUND
1785 TT,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
1789 NA,1789.TW,1789.AMS
178920 KS,178920.KQ,SYMBOL_NOT_FOUND
179 HK,0179.HK,SYMBOL_NOT_FOUND
1795 NA,1795.TW,1795.AMS
1801 JP,1801.T,SYMBOL_NOT_FOUND
1802 JP,1802.T,SYMBOL_NOT_FOUND
1803 JP,1803.T,SYMBOL_NOT_FOUND
180640 KS,180640.KS,SYMBOL_NOT_FOUND
1808 JP,1808.T,SYMBOL_NOT_FOUND
1812 JP,1812.T,SYMBOL_NOT_FOUND
181710 KS,181710.KS,SYMBOL_NOT_FOUND
1820 JP,1820.T,SYMBOL_NOT_FOUND
1824 JP,1824.T,SYMBOL_NOT_FOUND
183300 KS,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
1835 JP,1835.T,SYMBOL_NOT_FOUND
185750 KS,185750.KS,SYMBOL_NOT_FOUND
1860 JP,1860.T,SYMBOL_NOT_FOUND
1876 HK,1876.HK,SYMBOL_NOT_FOUND
1878 JP,1878.T,SYMBOL_NOT_FOUND
1893 JP,1893.T,SYMBOL_NOT_FOUND
19 HK,0019.HK,SYMBOL_NOT_FOUND
1905 NA,SYMBOL_NOT_FOUND,1905.AMS
1911 JP,1911.T,SYMBOL_NOT_FOUND
192080 KS,192080.KS,SYMBOL_NOT_FOUND
192440 KS,192440.KQ,SYMBOL_NOT_FOUND
1925 JP,1925.T,SYMBOL_NOT_FOUND
1926 JP,1926.T,SYMBOL_NOT_FOUND
1928 HK,1928.HK,SYMBOL_NOT_FOUND
1928 JP,1928.T,SYMBOL_NOT_FOUND
192820 KS,192820.KS,SYMBOL_NOT_FOUND
1929 HK,1929.HK,SYMBOL_NOT_FOUND
1942 JP,1942.T,SYMBOL_NOT_FOUND
1944 JP,1944.T,SYMBOL_NOT_FOUND
194700 KS,194700.KQ,SYMBOL_NOT_FOUND
1951 JP,1951.T,SYMBOL_NOT_FOUND
1959 JP,1959.T,SYMBOL_NOT_FOUND
1963 JP,1963.T,SYMBOL_NOT_FOUND
1969 JP,1969.T,SYMBOL_NOT_FOUND
1972 HK,1972.HK,SYMBOL_NOT_FOUND
1973 JP,1973.T,SYMBOL_NOT_FOUND
1979 JP,1979.T,SYMBOL_NOT_FOUND
1997 HK,1997.HK,SYMBOL_NOT_FOUND
1999 HK,1999.HK,SYMBOL_NOT_FOUND
1COV GR,1COV.DE,1COV.DEX
2 HK,0002.HK,SYMBOL_NOT_FOUND
200 HK,0200.HK,SYMBOL_NOT_FOUND
200130 KS,200130.KS,SYMBOL_NOT_FOUND
2002 JP,2002.T,SYMBOL_NOT_FOUND
2002 NA,2002.TW,2002.AMS
2004 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
2006 NA,SYMBOL_NOT_FOUND,2006.AMS
2015 NA,SYMBOL_NOT_FOUND,2015.AMS
2034 NA,SYMBOL_NOT_FOUND,2034.AMS
204320 KS,204320.KS,SYMBOL_NOT_FOUND
2049 NA,2049.TW,2049.AMS
2059 NA,2059.TW,2059.AMS
207940 KS,207940.KS,SYMBOL_NOT_FOUND
2103 NA,SYMBOL_NOT_FOUND,2103.AMS
2104 NA,2104.TW,2104.AMS
2105 NA,2105.TW,2105.AMS
210980 KS,210980.KS,SYMBOL_NOT_FOUND
2120 JP,2120.T,SYMBOL_NOT_FOUND
2121 JP,2121.T,SYMBOL_NOT_FOUND
2124 JP,2124.T,SYMBOL_NOT_FOUND
2127 JP,2127.T,SYMBOL_NOT_FOUND
213420 KS,213420.KQ,SYMBOL_NOT_FOUND
213500 KS,213500.KS,SYMBOL_NOT_FOUND
214150 KS,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
214320 KS,214320.KS,SYMBOL_NOT_FOUND
214450 KS,214450.KQ,SYMBOL_NOT_FOUND
2146 JP,2146.T,SYMBOL_NOT_FOUND
2151 JP,2151.T,SYMBOL_NOT_FOUND
215360 KS,215360.KQ,SYMBOL_NOT_FOUND
2154 JP,2154.T,SYMBOL_NOT_FOUND
2157 JP,2157.T,SYMBOL_NOT_FOUND
216050 KS,216050.KQ,SYMBOL_NOT_FOUND
2175 JP,2175.T,SYMBOL_NOT_FOUND
2181 JP,2181.T,SYMBOL_NOT_FOUND
218410 KS,218410.KQ,SYMBOL_NOT_FOUND
2201 JP,2201.T,SYMBOL_NOT_FOUND
2204 NA,SYMBOL_NOT_FOUND,2204.AMS
2206 JP,2206.T,SYMBOL_NOT_FOUND
2207 NA,2207.TW,2207.AMS
2212 JP,2212.T,SYMBOL_NOT_FOUND
2229 JP,2229.T,SYMBOL_NOT_FOUND
2231 NA,2231.TW,2231.AMS
2264 JP,2264.T,SYMBOL_NOT_FOUND
2267 JP,2267.T,SYMBOL_NOT_FOUND
2269 JP,2269.T,SYMBOL_NOT_FOUND
2270 JP,2270.T,SYMBOL_NOT_FOUND
2281 JP,2281.T,SYMBOL_NOT_FOUND
2282 HK,2282.HK,SYMBOL_NOT_FOUND
2282 JP,2282.T,SYMBOL_NOT_FOUND
2292 JP,2292.T,SYMBOL_NOT_FOUND
2296 JP,2296.T,SYMBOL_NOT_FOUND
23 HK,0023.HK,SYMBOL_NOT_FOUND
2301 NA,2301.TW,2301.AMS
2303 NA,2303.TW,2303.AMS
2308 NA,2308.TW,2308.AMS
2313 NA,2313.TW,2313.AMS
2317 JP,2317.T,SYMBOL_NOT_FOUND
2317 NA,2317.TW,2317.AMS
2324 NA,2324.TW,2324.AMS
2326 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
2327 JP,2327.T,SYMBOL_NOT_FOUND
2327 NA,2327.TW,2327.AMS
2330 NA,2330.TW,2330.AMS
2331 JP,2331.T,SYMBOL_NOT_FOUND
2337 JP,2337.T,SYMBOL_NOT_FOUND
2337 NA,2337.TW,2337.AMS
2343 HK,2343.HK,SYMBOL_NOT_FOUND
2344 NA,2344.TW,2344.AMS
2345 NA,2345.TW,2345.AMS
2347 NA,2347.TW,2347.AMS
2351 NA,2351.TW,2351.AMS
2352 NA,2352.TW,2352.AMS
2353 NA,2353.TW,2353.AMS
2354 NA,2354.TW,2354.AMS
2355 NA,2355.TW,2355.AMS
2356 NA,2356.TW,2356.AMS
2357 NA,2357.TW,2357.AMS
2360 NA,2360.TW,2360.AMS
2367 NA,SYMBOL_NOT_FOUND,2367.AMS
2371 JP,2371.T,SYMBOL_NOT_FOUND
2376 NA,SYMBOL_NOT_FOUND,2376.AMS
2377 NA,2377.TW,2377.AMS
237880 KS,237880.KS,SYMBOL_NOT_FOUND
2379 JP,2379.T,SYMBOL_NOT_FOUND
2379 NA,2379.TW,2379.AMS
2382 NA,2382.TW,2382.AMS
2383 NA,2383.TW,2383.AMS
2384 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
2385 NA,2385.TW,2385.AMS
2388 HK,2388.HK,SYMBOL_NOT_FOUND
2393 NA,2393.TW,2393.AMS
2395 NA,2395.TW,2395.AMS
2398 JP,2398.T,SYMBOL_NOT_FOUND
2408 NA,2408.TW,2408.AMS
240810 KS,240810.KQ,SYMBOL_NOT_FOUND
2409 NA,2409.TW,2409.AMS
241 HK,0241.HK,SYMBOL_NOT_FOUND
2412 JP,2412.T,SYMBOL_NOT_FOUND
2412 NA,2412.TW,2412.AMS
2413 JP,2413.T,SYMBOL_NOT_FOUND
241560 KS,241560.KS,SYMBOL_NOT_FOUND
241590 KS,241590.KS,SYMBOL_NOT_FOUND
242 HK,0242.HK,SYMBOL_NOT_FOUND
2421 NA,2421.TW,2421.AMS
2427 JP,2427.T,SYMBOL_NOT_FOUND
2432 JP,2432.T,SYMBOL_NOT_FOUND
2433 JP,2433.T,SYMBOL_NOT_FOUND
2439 NA,2439.TW,2439.AMS
2440 JP,2440.T,SYMBOL_NOT_FOUND
2448 NA,2448.TW,2448.AMS
2449 NA,2449.TW,2449.AMS
2454 NA,2454.TW,2454.AMS
2455 NA,2455.TW,2455.AMS
2456 NA,2456.TW,2456.AMS
2458 NA,2458.TW,2458.AMS
2471 JP,2471.T,SYMBOL_NOT_FOUND
2474 NA,2474.TW,2474.AMS
247540 KS,247540.KQ,SYMBOL_NOT_FOUND
2491 JP,2491.T,SYMBOL_NOT_FOUND
2501 JP,2501.T,SYMBOL_NOT_FOUND
2502 JP,2502.T,SYMBOL_NOT_FOUND
2503 JP,2503.T,SYMBOL_NOT_FOUND
2504 NA,SYMBOL_NOT_FOUND,2504.AMS
251270 KS,251270.KS,SYMBOL_NOT_FOUND
253450 KS,253450.KQ,SYMBOL_NOT_FOUND
2548 NA,2548.TW,2548.AMS
2579 JP,2579.T,SYMBOL_NOT_FOUND
2587 JP,2587.T,SYMBOL_NOT_FOUND
2590 JP,2590.T,SYMBOL_NOT_FOUND
2593 JP,2593.T,SYMBOL_NOT_FOUND
2603 NA,2603.TW,2603.AMS
2607 JP,2607.T,SYMBOL_NOT_FOUND
2609 NA,2609.TW,2609.AMS
2610 NA,2610.TW,2610.AMS
2618 NA,2618.TW,2618.AMS
2633 NA,2633.TW,2633.AMS
263750 KS,263750.KQ,SYMBOL_NOT_FOUND
2638 HK,2638.HK,SYMBOL_NOT_FOUND
2651 JP,2651.T,SYMBOL_NOT_FOUND
265520 KS,265520.KS,SYMBOL_NOT_FOUND
2670 JP,2670.T,SYMBOL_NOT_FOUND
267250 KS,267250.KS,SYMBOL_NOT_FOUND
267260 KS,267260.KS,SYMBOL_NOT_FOUND
267270 KS,267270.KS,SYMBOL_NOT_FOUND
2678 JP,2678.T,SYMBOL_NOT_FOUND
267980 KS,267980.KQ,SYMBOL_NOT_FOUND
2685 JP,2685.T,SYMBOL_NOT_FOUND
2688 HK,2688.HK,SYMBOL_NOT_FOUND
2695 JP,2695.T,SYMBOL_NOT_FOUND
27 HK,0027.HK,SYMBOL_NOT_FOUND
2702 JP,2702.T,SYMBOL_NOT_FOUND
271560 KS,271560.KS,SYMBOL_NOT_FOUND
272210 KS,272210.KS,SYMBOL_NOT_FOUND
272290 KS,272290.KQ,SYMBOL_NOT_FOUND
2723 NA,2723.TW,2723.AMS
272450 KS,272450.KS,SYMBOL_NOT_FOUND
2768 JP,2768.T,SYMBOL_NOT_FOUND
2782 JP,2782.T,SYMBOL_NOT_FOUND
278280 KS,278280.KQ,SYMBOL_NOT_FOUND
2784 JP,2784.T,SYMBOL_NOT_FOUND
2801 JP,2801.T,SYMBOL_NOT_FOUND
2802 JP,2802.T,SYMBOL_NOT_FOUND
2809 JP,2809.T,SYMBOL_NOT_FOUND
2809 NA,2809.TW,2809.AMS
2810 JP,2810.T,SYMBOL_NOT_FOUND
2815 JP,2815.T,SYMBOL_NOT_FOUND
2823 NA,2823.TW,2823.AMS
282330 KS,282330.KS,SYMBOL_NOT_FOUND
285130 KS,285130.KS,SYMBOL_NOT_FOUND
2871 JP,2871.T,SYMBOL_NOT_FOUND
2875 JP,2875.T,SYMBOL_NOT_FOUND
2880 NA,SYMBOL_NOT_FOUND,2880.AMS
2881 NA,2881.TW,2881.AMS
2882 NA,2882.TW,2882.AMS
2884 NA,2884.TW,2884.AMS
2885 NA,2885.TW,2885.AMS
2886 NA,2886.TW,2886.AMS
2887 NA,2887.TW,2887.AMS
2888 NA,2888.TW,2888.AMS
2890 NA,2890.TW,2890.AMS
2891 NA,2891.TW,2891.AMS
2892 NA,2892.TW,2892.AMS
2897 JP,2897.T,SYMBOL_NOT_FOUND
2912 NA,2912.TW,2912.AMS
